gene_symbol,uniprot_id,interaction_claim_source,drug_name,chembl_id,CID
ERCC1,A0A024R0Q6,CIViC,GEMCITABINE,CHEMBL888,60750
ERCC1,A0A024R0Q6,PharmGKB,CAPECITABINE,CHEMBL1773,60953
ERCC1,A0A024R0Q6,PharmGKB,DOCETAXEL,CHEMBL92,148124
ERCC1,A0A024R0Q6,PharmGKB,BLEOMYCIN,CHEMBL403664,5460769
ERCC1,A0A024R0Q6,PharmGKB,PALONOSETRON,CHEMBL1189679,6337614
ERCC1,A0A024R0Q6,PharmGKB,LEUCOVORIN,CHEMBL1679,135403648
VASP,A0A024R0V4,PharmGKB,HYDROCHLOROTHIAZIDE,CHEMBL435,3639
INVS,A0A024R153,PharmGKB,DULOXETINE,CHEMBL1175,60835
XBP1,A0A024R1F0,DTC,FLUSPIRILENE,CHEMBL46516,3396
XBP1,A0A024R1F0,DTC,PIMOZIDE,CHEMBL1423,16362
XBP1,A0A024R1F0,DTC,HELENALIN,CHEMBL338474,23205
XBP1,A0A024R1F0,DTC,ISOVELLERAL,CHEMBL518292,37839
XBP1,A0A024R1F0,DTC,GRINIMIBINE,CHEMBL1477760,96943
XBP1,A0A024R1F0,DTC,ANGUSTIBALIN,CHEMBL486196,442142
XBP1,A0A024R1F0,DTC,CHEMBL300389,CHEMBL300389,644215
XBP1,A0A024R1F0,DTC,CHEMBL528181,CHEMBL528181,697231
XBP1,A0A024R1F0,DTC,CHEMBL1567571,CHEMBL1567571,1072148
XBP1,A0A024R1F0,DTC,CHEMBL523200,CHEMBL523200,2129554
XBP1,A0A024R1F0,DTC,CHEMBL1494650,CHEMBL1494650,2402326
XBP1,A0A024R1F0,DTC,CHEMBL2095095,CHEMBL2095095,5676317
XBP1,A0A024R1F0,DTC,DITHIAZANINE IODIDE,CHEMBL421701,5702697
XBP1,A0A024R1F0,DTC,CHEMBL1224755,CHEMBL1224755,6018993
XBP1,A0A024R1F0,DTC,CHEMBL1520837,CHEMBL1520837,6604413
XBP1,A0A024R1F0,DTC,GARCINONE E,CHEMBL454580,10298511
XBP1,A0A024R1F0,DTC,PROTOAPIGENONE,CHEMBL414890,11644907
XBP1,A0A024R1F0,DTC,CALCIMYCIN,CHEMBL1256686,11957499
XBP1,A0A024R1F0,DTC,CHEMBL584458,CHEMBL584458,16192857
PARP3,A0A024R318,PharmGKB,RUCAPARIB,CHEMBL1173055,9931954
PARP3,A0A024R318,ChemblInteractions,RUCAPARIB,CHEMBL1173055,9931954
PARP3,A0A024R318,DTC,CHEMBL380648,CHEMBL380648,11291932
PARP3,A0A024R318,ChemblInteractions,VELIPARIB,CHEMBL506871,11960529
PARP3,A0A024R318,ChemblInteractions,OLAPARIB,CHEMBL521686,23725625
PARP3,A0A024R318,ChemblInteractions,RUCAPARIB CAMSYLATE,CHEMBL3833368,121490161
PANX1,A0A024R397,GuideToPharmacology,CARBENOXOLONE,CHEMBL499915,636403
DRD2,A0A024R3C5,PharmGKB,BUPROPION,CHEMBL894,444
DRD2,A0A024R3C5,TTD,DOPAMINE,CHEMBL59,681
DRD2,A0A024R3C5,GuideToPharmacology,DOPAMINE,CHEMBL59,681
DRD2,A0A024R3C5,NCI,ALCOHOL,CHEMBL545,702
DRD2,A0A024R3C5,PharmGKB,ALCOHOL,CHEMBL545,702
DRD2,A0A024R3C5,TTD,AMISULPRIDE,CHEMBL243712,2159
DRD2,A0A024R3C5,TdgClinicalTrial,AMISULPRIDE,CHEMBL243712,2159
DRD2,A0A024R3C5,TdgClinicalTrial,AMISULPRIDE,CHEMBL243712,2159
DRD2,A0A024R3C5,PharmGKB,AMISULPRIDE,CHEMBL243712,2159
DRD2,A0A024R3C5,GuideToPharmacology,AMISULPRIDE,CHEMBL243712,2159
DRD2,A0A024R3C5,TEND,AMISULPRIDE,CHEMBL243712,2159
DRD2,A0A024R3C5,ChemblInteractions,AMOXAPINE,CHEMBL1113,2170
DRD2,A0A024R3C5,TTD,ANIRACETAM,CHEMBL36994,2196
DRD2,A0A024R3C5,GuideToPharmacology,BENZQUINAMIDE,CHEMBL1201250,2342
DRD2,A0A024R3C5,TTD,BEVANTOLOL,CHEMBL314010,2372
DRD2,A0A024R3C5,PharmGKB,BROMPERIDOL,CHEMBL28218,2448
DRD2,A0A024R3C5,TdgClinicalTrial,BUSPIRONE,CHEMBL49,2477
DRD2,A0A024R3C5,TEND,BUSPIRONE,CHEMBL49,2477
DRD2,A0A024R3C5,TTD,CHLORPROMAZINE,CHEMBL71,2726
DRD2,A0A024R3C5,GuideToPharmacology,CHLORPROMAZINE,CHEMBL71,2726
DRD2,A0A024R3C5,ChemblInteractions,CHLORPROMAZINE,CHEMBL71,2726
DRD2,A0A024R3C5,PharmGKB,CHLORPROMAZINE,CHEMBL71,2726
DRD2,A0A024R3C5,PharmGKB,AMPHETAMINE,CHEMBL405,3007
DRD2,A0A024R3C5,PharmGKB,DISULFIRAM,CHEMBL964,3117
DRD2,A0A024R3C5,TEND,DOMPERIDONE,CHEMBL219916,3151
DRD2,A0A024R3C5,GuideToPharmacology,DOMPERIDONE,CHEMBL219916,3151
DRD2,A0A024R3C5,TdgClinicalTrial,DOMPERIDONE,CHEMBL219916,3151
DRD2,A0A024R3C5,TTD,DOMPERIDONE,CHEMBL219916,3151
DRD2,A0A024R3C5,TTD,DROPERIDOL,CHEMBL1108,3168
DRD2,A0A024R3C5,ChemblInteractions,DROPERIDOL,CHEMBL1108,3168
DRD2,A0A024R3C5,TEND,DROPERIDOL,CHEMBL1108,3168
DRD2,A0A024R3C5,TdgClinicalTrial,DROPERIDOL,CHEMBL1108,3168
DRD2,A0A024R3C5,TdgClinicalTrial,FLUPHENAZINE,CHEMBL726,3372
DRD2,A0A024R3C5,GuideToPharmacology,FLUPHENAZINE,CHEMBL726,3372
DRD2,A0A024R3C5,TEND,FLUPHENAZINE,CHEMBL726,3372
DRD2,A0A024R3C5,ChemblInteractions,FLUPHENAZINE DECANOATE,CHEMBL1200854,3388
DRD2,A0A024R3C5,ChemblInteractions,FLUPHENAZINE ENANTHATE,CHEMBL1200951,3389
DRD2,A0A024R3C5,TTD,FLUSPIRILENE,CHEMBL46516,3396
DRD2,A0A024R3C5,TdgClinicalTrial,FLUSPIRILENE,CHEMBL46516,3396
DRD2,A0A024R3C5,TEND,FLUSPIRILENE,CHEMBL46516,3396
DRD2,A0A024R3C5,ChemblInteractions,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,GuideToPharmacology,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,TEND,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,TdgClinicalTrial,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,TTD,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,NCI,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,DTC,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,PharmGKB,HALOPERIDOL,CHEMBL54,3559
DRD2,A0A024R3C5,TTD,MEPHENTERMINE,CHEMBL1201234,3677
DRD2,A0A024R3C5,TdgClinicalTrial,ITOPRIDE,CHEMBL2107457,3792
DRD2,A0A024R3C5,TdgClinicalTrial,LOXAPINE,CHEMBL831,3964
DRD2,A0A024R3C5,TTD,LOXAPINE,CHEMBL831,3964
DRD2,A0A024R3C5,TEND,LOXAPINE,CHEMBL831,3964
DRD2,A0A024R3C5,ChemblInteractions,LOXAPINE,CHEMBL831,3964
DRD2,A0A024R3C5,GuideToPharmacology,LOXAPINE,CHEMBL831,3964
DRD2,A0A024R3C5,TdgClinicalTrial,MESORIDAZINE,CHEMBL1088,4078
DRD2,A0A024R3C5,GuideToPharmacology,MESORIDAZINE,CHEMBL1088,4078
DRD2,A0A024R3C5,TTD,MESORIDAZINE,CHEMBL1088,4078
DRD2,A0A024R3C5,TEND,MESORIDAZINE,CHEMBL1088,4078
DRD2,A0A024R3C5,PharmGKB,METHADONE,CHEMBL651,4095
DRD2,A0A024R3C5,PharmGKB,METHYLPHENIDATE,CHEMBL796,4158
DRD2,A0A024R3C5,TdgClinicalTrial,METOCLOPRAMIDE,CHEMBL86,4168
DRD2,A0A024R3C5,TTD,METOCLOPRAMIDE,CHEMBL86,4168
DRD2,A0A024R3C5,TEND,METOCLOPRAMIDE,CHEMBL86,4168
DRD2,A0A024R3C5,TEND,MINAPRINE,CHEMBL278819,4199
DRD2,A0A024R3C5,TdgClinicalTrial,MINAPRINE,CHEMBL278819,4199
DRD2,A0A024R3C5,TTD,NAPHAZOLINE,CHEMBL761,4436
DRD2,A0A024R3C5,TTD,NEMONAPRIDE,CHEMBL20734,4452
DRD2,A0A024R3C5,PharmGKB,NEMONAPRIDE,CHEMBL20734,4452
DRD2,A0A024R3C5,TTD,PERAZINE,CHEMBL1697766,4744
DRD2,A0A024R3C5,GuideToPharmacology,PERPHENAZINE,CHEMBL567,4748
DRD2,A0A024R3C5,TdgClinicalTrial,PERPHENAZINE,CHEMBL567,4748
DRD2,A0A024R3C5,TTD,PERPHENAZINE,CHEMBL567,4748
DRD2,A0A024R3C5,TEND,PERPHENAZINE,CHEMBL567,4748
DRD2,A0A024R3C5,ChemblInteractions,PERPHENAZINE,CHEMBL567,4748
DRD2,A0A024R3C5,TTD,PHENOXYBENZAMINE,CHEMBL753,4768
DRD2,A0A024R3C5,GuideToPharmacology,PIRIBEDIL,CHEMBL1371770,4850
DRD2,A0A024R3C5,TTD,PROCHLORPERAZINE,CHEMBL728,4917
DRD2,A0A024R3C5,TEND,PROCHLORPERAZINE,CHEMBL728,4917
DRD2,A0A024R3C5,PharmGKB,PROCHLORPERAZINE,CHEMBL728,4917
DRD2,A0A024R3C5,TdgClinicalTrial,PROCHLORPERAZINE,CHEMBL728,4917
DRD2,A0A024R3C5,ChemblInteractions,PROCHLORPERAZINE,CHEMBL728,4917
DRD2,A0A024R3C5,GuideToPharmacology,PROCHLORPERAZINE,CHEMBL728,4917
DRD2,A0A024R3C5,TEND,PROMAZINE,CHEMBL564,4926
DRD2,A0A024R3C5,GuideToPharmacology,PROMAZINE,CHEMBL564,4926
DRD2,A0A024R3C5,TdgClinicalTrial,PROMAZINE,CHEMBL564,4926
DRD2,A0A024R3C5,TdgClinicalTrial,PROPIOMAZINE,CHEMBL1201210,4940
DRD2,A0A024R3C5,TEND,PROPIOMAZINE,CHEMBL1201210,4940
DRD2,A0A024R3C5,TEND,QUETIAPINE,CHEMBL716,5002
DRD2,A0A024R3C5,DTC,QUETIAPINE,CHEMBL716,5002
DRD2,A0A024R3C5,TdgClinicalTrial,QUETIAPINE,CHEMBL716,5002
DRD2,A0A024R3C5,TTD,QUETIAPINE,CHEMBL716,5002
DRD2,A0A024R3C5,GuideToPharmacology,QUETIAPINE,CHEMBL716,5002
DRD2,A0A024R3C5,ChemblInteractions,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,GuideToPharmacology,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,TdgClinicalTrial,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,TEND,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,PharmGKB,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,TTD,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,DTC,RISPERIDONE,CHEMBL85,5073
DRD2,A0A024R3C5,TEND,ROPINIROLE,CHEMBL589,5095
DRD2,A0A024R3C5,GuideToPharmacology,ROPINIROLE,CHEMBL589,5095
DRD2,A0A024R3C5,TdgClinicalTrial,ROPINIROLE,CHEMBL589,5095
DRD2,A0A024R3C5,TdgClinicalTrial,ROPINIROLE,CHEMBL589,5095
DRD2,A0A024R3C5,PharmGKB,ROPINIROLE,CHEMBL589,5095
DRD2,A0A024R3C5,TTD,ROPINIROLE,CHEMBL589,5095
DRD2,A0A024R3C5,TdgClinicalTrial,SULPIRIDE,CHEMBL26,5355
DRD2,A0A024R3C5,TEND,SULPIRIDE,CHEMBL26,5355
DRD2,A0A024R3C5,GuideToPharmacology,SULPIRIDE,CHEMBL26,5355
DRD2,A0A024R3C5,TTD,SULPIRIDE,CHEMBL26,5355
DRD2,A0A024R3C5,DTC,SULPIRIDE,CHEMBL26,5355
DRD2,A0A024R3C5,PharmGKB,SUMATRIPTAN,CHEMBL128,5358
DRD2,A0A024R3C5,TTD,TALIPEXOLE,CHEMBL279085,5374
DRD2,A0A024R3C5,TTD,THIETHYLPERAZINE,CHEMBL1378,5440
DRD2,A0A024R3C5,TdgClinicalTrial,THIETHYLPERAZINE,CHEMBL1378,5440
DRD2,A0A024R3C5,TEND,THIETHYLPERAZINE,CHEMBL1378,5440
DRD2,A0A024R3C5,TTD,THIORIDAZINE,CHEMBL479,5452
DRD2,A0A024R3C5,TdgClinicalTrial,THIORIDAZINE,CHEMBL479,5452
DRD2,A0A024R3C5,ChemblInteractions,THIORIDAZINE,CHEMBL479,5452
DRD2,A0A024R3C5,TEND,THIORIDAZINE,CHEMBL479,5452
DRD2,A0A024R3C5,TTD,TIAPRIDE,CHEMBL84158,5467
DRD2,A0A024R3C5,TTD,TOLAZOLINE,CHEMBL770,5504
DRD2,A0A024R3C5,TEND,TRIFLUOPERAZINE,CHEMBL422,5566
DRD2,A0A024R3C5,GuideToPharmacology,TRIFLUOPERAZINE,CHEMBL422,5566
DRD2,A0A024R3C5,TdgClinicalTrial,TRIFLUOPERAZINE,CHEMBL422,5566
DRD2,A0A024R3C5,TEND,TRIFLUPROMAZINE,CHEMBL570,5568
DRD2,A0A024R3C5,TdgClinicalTrial,TRIFLUPROMAZINE,CHEMBL570,5568
DRD2,A0A024R3C5,ChemblInteractions,TRIFLUPROMAZINE,CHEMBL570,5568
DRD2,A0A024R3C5,GuideToPharmacology,ZOTEPINE,CHEMBL285802,5736
DRD2,A0A024R3C5,TTD,PHENTOLAMINE,CHEMBL597,5775
DRD2,A0A024R3C5,ChemblInteractions,PROMAZINE HYDROCHLORIDE,CHEMBL1200469,5887
DRD2,A0A024R3C5,TTD,METARAMINOL,CHEMBL1201319,5906
DRD2,A0A024R3C5,TEND,APOMORPHINE,CHEMBL53,6005
DRD2,A0A024R3C5,TTD,APOMORPHINE,CHEMBL53,6005
DRD2,A0A024R3C5,TdgClinicalTrial,APOMORPHINE,CHEMBL53,6005
DRD2,A0A024R3C5,GuideToPharmacology,APOMORPHINE,CHEMBL53,6005
DRD2,A0A024R3C5,TTD,PHENYLEPHRINE,CHEMBL1215,6041
DRD2,A0A024R3C5,PharmGKB,LEVODOPA,CHEMBL1009,6047
DRD2,A0A024R3C5,TdgClinicalTrial,LEVODOPA,CHEMBL1009,6047
DRD2,A0A024R3C5,TTD,LEVODOPA,CHEMBL1009,6047
DRD2,A0A024R3C5,TEND,LEVODOPA,CHEMBL1009,6047
DRD2,A0A024R3C5,ChemblInteractions,CHLORPROMAZINE HYDROCHLORIDE,CHEMBL1713,6240
DRD2,A0A024R3C5,TTD,PSEUDOEPHEDRINE,CHEMBL1590,7028
DRD2,A0A024R3C5,TTD,PHENYLTOLOXAMINE,CHEMBL186720,7077
DRD2,A0A024R3C5,TTD,EPHEDRINE,CHEMBL211456,9294
DRD2,A0A024R3C5,ChemblInteractions,APOMORPHINE HYDROCHLORIDE,CHEMBL1616,9410
DRD2,A0A024R3C5,TTD,DIHYDROERGOTAMINE,CHEMBL1732,10531
DRD2,A0A024R3C5,TTD,METHAMPHETAMINE,CHEMBL1201201,10836
DRD2,A0A024R3C5,ChemblInteractions,PIMOZIDE,CHEMBL1423,16362
DRD2,A0A024R3C5,TdgClinicalTrial,PIMOZIDE,CHEMBL1423,16362
DRD2,A0A024R3C5,TEND,PIMOZIDE,CHEMBL1423,16362
DRD2,A0A024R3C5,TTD,PIMOZIDE,CHEMBL1423,16362
DRD2,A0A024R3C5,GuideToPharmacology,PIMOZIDE,CHEMBL1423,16362
DRD2,A0A024R3C5,GuideToPharmacology,BENPERIDOL,CHEMBL297302,16363
DRD2,A0A024R3C5,TdgClinicalTrial,ACETOPHENAZINE,CHEMBL1085,17676
DRD2,A0A024R3C5,TTD,ACETOPHENAZINE,CHEMBL1085,17676
DRD2,A0A024R3C5,TEND,ACETOPHENAZINE,CHEMBL1085,17676
DRD2,A0A024R3C5,TEND,CARPHENAZINE,CHEMBL1201328,18104
DRD2,A0A024R3C5,TdgClinicalTrial,CARPHENAZINE,CHEMBL1201328,18104
DRD2,A0A024R3C5,TTD,CARPHENAZINE,CHEMBL1201328,18104
DRD2,A0A024R3C5,TTD,PIPERACETAZINE,CHEMBL1584,19675
DRD2,A0A024R3C5,TdgClinicalTrial,MELEVODOPA,CHEMBL1328898,23497
DRD2,A0A024R3C5,TdgClinicalTrial,MOLINDONE,CHEMBL460,23897
DRD2,A0A024R3C5,TEND,MOLINDONE,CHEMBL460,23897
DRD2,A0A024R3C5,TTD,MOLINDONE,CHEMBL460,23897
DRD2,A0A024R3C5,TdgClinicalTrial,LISURIDE,CHEMBL157138,28864
DRD2,A0A024R3C5,GuideToPharmacology,LISURIDE,CHEMBL157138,28864
DRD2,A0A024R3C5,TEND,LISURIDE,CHEMBL157138,28864
DRD2,A0A024R3C5,TTD,LISURIDE,CHEMBL157138,28864
DRD2,A0A024R3C5,ChemblInteractions,BROMOCRIPTINE MESYLATE,CHEMBL1200503,31100
DRD2,A0A024R3C5,TEND,BROMOCRIPTINE,CHEMBL493,31101
DRD2,A0A024R3C5,TTD,BROMOCRIPTINE,CHEMBL493,31101
DRD2,A0A024R3C5,TdgClinicalTrial,BROMOCRIPTINE,CHEMBL493,31101
DRD2,A0A024R3C5,GuideToPharmacology,BROMOCRIPTINE,CHEMBL493,31101
DRD2,A0A024R3C5,ChemblInteractions,MESORIDAZINE BESYLATE,CHEMBL1201052,36207
DRD2,A0A024R3C5,TTD,METHYLDOPA,CHEMBL459,38853
DRD2,A0A024R3C5,TTD,PERGOLIDE,CHEMBL531,47811
DRD2,A0A024R3C5,PharmGKB,PERGOLIDE,CHEMBL531,47811
DRD2,A0A024R3C5,GuideToPharmacology,PERGOLIDE,CHEMBL531,47811
DRD2,A0A024R3C5,TdgClinicalTrial,PERGOLIDE,CHEMBL531,47811
DRD2,A0A024R3C5,TEND,PERGOLIDE,CHEMBL531,47811
DRD2,A0A024R3C5,ChemblInteractions,PERGOLIDE MESYLATE,CHEMBL1275,47812
DRD2,A0A024R3C5,ChemblInteractions,HALOPERIDOL DECANOATE,CHEMBL1200986,52919
DRD2,A0A024R3C5,TEND,REMOXIPRIDE,CHEMBL22242,54477
DRD2,A0A024R3C5,TdgClinicalTrial,REMOXIPRIDE,CHEMBL22242,54477
DRD2,A0A024R3C5,GuideToPharmacology,QUINPIROLE,CHEMBL240773,54562
DRD2,A0A024R3C5,DTC,QUINPIROLE,CHEMBL240773,54562
DRD2,A0A024R3C5,TTD,CABERGOLINE,CHEMBL1201087,54746
DRD2,A0A024R3C5,GuideToPharmacology,CABERGOLINE,CHEMBL1201087,54746
DRD2,A0A024R3C5,TdgClinicalTrial,CABERGOLINE,CHEMBL1201087,54746
DRD2,A0A024R3C5,ChemblInteractions,CABERGOLINE,CHEMBL1201087,54746
DRD2,A0A024R3C5,PharmGKB,CABERGOLINE,CHEMBL1201087,54746
DRD2,A0A024R3C5,TEND,CABERGOLINE,CHEMBL1201087,54746
DRD2,A0A024R3C5,TTD,DOPEXAMINE,CHEMBL77622,55483
DRD2,A0A024R3C5,TTD,QUINAGOLIDE,CHEMBL2218861,55645
DRD2,A0A024R3C5,GuideToPharmacology,QUINELORANE,CHEMBL155731,57242
DRD2,A0A024R3C5,GuideToPharmacology,ETICLOPRIDE,CHEMBL8946,57267
DRD2,A0A024R3C5,TTD,CARMOXIROLE,CHEMBL70159,57364
DRD2,A0A024R3C5,TdgClinicalTrial,ROTIGOTINE,CHEMBL1303,59227
DRD2,A0A024R3C5,TEND,ROTIGOTINE,CHEMBL1303,59227
DRD2,A0A024R3C5,GuideToPharmacology,ROTIGOTINE,CHEMBL1303,59227
DRD2,A0A024R3C5,ChemblInteractions,ROTIGOTINE,CHEMBL1303,59227
DRD2,A0A024R3C5,TdgClinicalTrial,DEXPRAMIPEXOLE,CHEMBL249420,59868
DRD2,A0A024R3C5,TEND,SERTINDOLE,CHEMBL12713,60149
DRD2,A0A024R3C5,TdgClinicalTrial,SERTINDOLE,CHEMBL12713,60149
DRD2,A0A024R3C5,GuideToPharmacology,SERTINDOLE,CHEMBL12713,60149
DRD2,A0A024R3C5,GuideToPharmacology,ARIPIPRAZOLE,CHEMBL1112,60795
DRD2,A0A024R3C5,TdgClinicalTrial,ARIPIPRAZOLE,CHEMBL1112,60795
DRD2,A0A024R3C5,TEND,ARIPIPRAZOLE,CHEMBL1112,60795
DRD2,A0A024R3C5,TTD,ARIPIPRAZOLE,CHEMBL1112,60795
DRD2,A0A024R3C5,PharmGKB,ARIPIPRAZOLE,CHEMBL1112,60795
DRD2,A0A024R3C5,ChemblInteractions,ARIPIPRAZOLE,CHEMBL1112,60795
DRD2,A0A024R3C5,GuideToPharmacology,ZIPRASIDONE,CHEMBL708,60854
DRD2,A0A024R3C5,TEND,ZIPRASIDONE,CHEMBL708,60854
DRD2,A0A024R3C5,TdgClinicalTrial,ZIPRASIDONE,CHEMBL708,60854
DRD2,A0A024R3C5,TTD,ZIPRASIDONE,CHEMBL708,60854
DRD2,A0A024R3C5,GuideToPharmacology,PIPOTIAZINE,CHEMBL398880,62867
DRD2,A0A024R3C5,ChemblInteractions,THIORIDAZINE HYDROCHLORIDE,CHEMBL1200916,66062
DRD2,A0A024R3C5,ChemblInteractions,TRIFLUPROMAZINE HYDROCHLORIDE,CHEMBL1201102,66069
DRD2,A0A024R3C5,ChemblInteractions,ROPINIROLE HYDROCHLORIDE,CHEMBL1200411,68727
DRD2,A0A024R3C5,TTD,DOCARPAMINE,CHEMBL2106351,71137
DRD2,A0A024R3C5,TTD,OCAPERIDONE,CHEMBL2104619,71351
DRD2,A0A024R3C5,ChemblInteractions,ILOPERIDONE,CHEMBL14376,71360
DRD2,A0A024R3C5,TdgClinicalTrial,ILOPERIDONE,CHEMBL14376,71360
DRD2,A0A024R3C5,TEND,ILOPERIDONE,CHEMBL14376,71360
DRD2,A0A024R3C5,TTD,ILOPERIDONE,CHEMBL14376,71360
DRD2,A0A024R3C5,ChemblInteractions,LOXAPINE SUCCINATE,CHEMBL1201155,71399
DRD2,A0A024R3C5,ChemblInteractions,LOXAPINE HYDROCHLORIDE,CHEMBL1201060,71400
DRD2,A0A024R3C5,ChemblInteractions,LEVOMEPROMAZINE,CHEMBL1764,72287
DRD2,A0A024R3C5,TTD,LEVOMEPROMAZINE,CHEMBL1764,72287
DRD2,A0A024R3C5,PharmGKB,NICOTINE,CHEMBL3,89594
DRD2,A0A024R3C5,ChemblInteractions,PROCHLORPERAZINE EDISYLATE,CHEMBL1201154,91499
DRD2,A0A024R3C5,ChemblInteractions,BENZQUINAMIDE HYDROCHLORIDE,CHEMBL1200707,101584
DRD2,A0A024R3C5,TdgClinicalTrial,PALIPERIDONE,CHEMBL1621,115237
DRD2,A0A024R3C5,TEND,PALIPERIDONE,CHEMBL1621,115237
DRD2,A0A024R3C5,ChemblInteractions,PALIPERIDONE,CHEMBL1621,115237
DRD2,A0A024R3C5,GuideToPharmacology,PEROSPIRONE,CHEMBL1472975,115368
DRD2,A0A024R3C5,GuideToPharmacology,PRAMIPEXOLE,CHEMBL301265,119570
